               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081819,            0.072244,             0.01706,             0.46809,              0.6035,             0.51172,             0.22612,            0.061421,              0.0432,           0.0053929,           0.0033085,           0.0033085,            0.070224
                   1,            0.063466,            0.060484,           0.0071047,             0.50584,              0.6332,             0.57569,             0.24135,            0.056167,            0.041879,           0.0047588,            0.006598,            0.006598,             0.04018
                   2,            0.057495,            0.060385,           0.0062756,             0.55693,             0.62007,             0.56766,             0.23604,            0.055161,            0.042273,           0.0043084,           0.0098435,           0.0098435,            0.010092
                   3,            0.053103,            0.060365,           0.0060433,             0.78404,             0.62447,             0.70056,              0.3557,            0.050756,             0.04508,             0.00439,            0.009802,            0.009802,            0.009802
                   4,            0.049264,            0.062635,            0.005642,              0.7392,             0.62904,              0.6921,             0.37389,             0.04813,            0.045844,            0.004988,            0.009802,            0.009802,            0.009802
                   5,            0.046918,            0.062376,           0.0052834,             0.75039,             0.66789,             0.70349,             0.37722,            0.047424,            0.046299,           0.0048484,            0.009736,            0.009736,            0.009736
                   6,             0.04625,             0.06122,           0.0050682,             0.77487,             0.63373,             0.70984,             0.39586,            0.046278,            0.045768,           0.0042423,             0.00967,             0.00967,             0.00967
                   7,            0.044993,            0.060529,           0.0049653,             0.73434,             0.64644,             0.68643,             0.37626,            0.046956,            0.047123,           0.0043421,            0.009604,            0.009604,            0.009604
                   8,             0.04442,            0.060972,           0.0048286,             0.72401,             0.66944,             0.70141,             0.37339,            0.047358,             0.04653,           0.0045429,            0.009538,            0.009538,            0.009538
                   9,            0.044399,            0.059668,           0.0045559,             0.77158,             0.62788,              0.6942,             0.39588,            0.045257,            0.046048,           0.0041425,            0.009472,            0.009472,            0.009472
                  10,            0.043015,            0.059298,           0.0045414,             0.71418,             0.67366,             0.69958,             0.39707,            0.045171,            0.046496,           0.0039133,            0.009406,            0.009406,            0.009406
                  11,            0.042917,            0.056991,           0.0042416,             0.74614,             0.67758,             0.71195,             0.39933,              0.0454,            0.045656,           0.0035642,             0.00934,             0.00934,             0.00934
                  12,            0.042736,            0.056321,           0.0042808,             0.72759,              0.6594,              0.6941,             0.39341,            0.045283,            0.046408,           0.0040711,            0.009274,            0.009274,            0.009274
                  13,            0.041881,            0.057204,           0.0042007,             0.75209,             0.65282,             0.70177,             0.39789,            0.045732,             0.04629,           0.0039723,            0.009208,            0.009208,            0.009208
                  14,            0.041413,            0.056891,           0.0040917,             0.72263,             0.69476,             0.71011,             0.40306,            0.045742,            0.046028,           0.0040002,            0.009142,            0.009142,            0.009142
                  15,             0.04085,            0.055228,           0.0039087,             0.73861,             0.66168,             0.70194,             0.39743,            0.046004,            0.047538,           0.0036157,            0.009076,            0.009076,            0.009076
                  16,            0.040929,            0.056165,           0.0040014,              0.8038,             0.62436,             0.69696,             0.39854,            0.046125,             0.04673,           0.0041915,             0.00901,             0.00901,             0.00901
                  17,            0.041039,             0.05468,           0.0038874,             0.78434,             0.60212,             0.68042,             0.38921,            0.045817,            0.049007,           0.0039907,            0.008944,            0.008944,            0.008944
                  18,            0.040543,            0.055115,           0.0037676,             0.74208,             0.64901,             0.69379,             0.39306,            0.045629,            0.048449,           0.0040178,            0.008878,            0.008878,            0.008878
                  19,            0.040354,            0.052719,           0.0036917,             0.73807,              0.6565,             0.69553,             0.39721,            0.046026,            0.047807,            0.004126,            0.008812,            0.008812,            0.008812
                  20,            0.039987,            0.052699,            0.003587,             0.74767,             0.66162,               0.701,             0.40162,            0.045792,            0.048062,           0.0044195,            0.008746,            0.008746,            0.008746
